"","Sample_1","Sample_5","Sample_6","Sample_8","Sample_9","Sample_10","Sample_11","Sample_17","Sample_13","Sample_20","Sample_23","Sample_2","Sample_3","Sample_4","Sample_7","Sample_12","Sample_14","Sample_15","Sample_16","Sample_18","Sample_19","Sample_21","Sample_22","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28"
"A0A075B6I9",55905,105460.662964622,327830,55757,134884.08044493,86699,71687,78326,110672.287427692,134864.163790995,79877,83164.8371402656,62074,263730,33764,84254,44050.5741940508,32415,61152.7464797395,46305.7856112427,73335.0683858196,128529.842373892,44968,46611,106624.868585857,28825,19555,91339.9180778694
"P0DPI2",78571,68940,75990,53986,53616,107030,73766,63203,6764.2,72101,43590,52505,63170,130650,78413,57124,75616,61203,118100,44328,84832,47473,209690,60674,47305,43312,93676,58401.6980972753
"A0A0C4DH31",356690,255690,269690,414370,256514.251303497,256702.324012285,233212.927024909,270777.296912658,234350,237121.821567501,430110,117480,193970,305830,249659.147529746,262880,842120,279213.248671641,174440,149460,221820.548254504,278051.686646698,249670.907794156,193540,251631.214371325,262815.462224093,277930,128970
"A0A0C4DH38",129700,98601,103940,122640,194114.955927926,135850,178180,34986,57074,40687,203070,941910,49248,113590,76725,114580,254673.150275632,237010.187974827,44168,40987,50586,77195,103779.139609762,100360,88845,99753,71552,55456
"P0DP08",350610,253750,354590,411160,268060,484890,566940,207730,478980,269900,643100,556970,270110,434780,243120,485470,1638800,195940,280000,255870,199590,304990,213950,414350,338180,252540,836260,507660
"A0AV96",61265,55610,40184,27702,75265,34765,47369.4597451796,121350,52906.9778384672,22226,36336.4139300223,29582,128790,61811,90793,24930,25607,86040,56096,92315,35295,22190,82048,20064,52330,25235,60068,58432.9148758226
"A0AVT1",33369,38234,34360,50755,12276,11310,24052,46815,37190.6394013716,44106,24142,64371,71884,53316,24138,37746,122910,47558,39597,31942,17993,23012,49246,20599.7017288991,34515,52348,79632,36354
"A0FGR8",65868,76802,62363,64529,52842,85257,56552,51183,69684,79768,74465,46654,60209,56846,45304,64697,82909,104890,52170,44651,57613,96941,62603,54821,47995,75005,65291,62953
"A0MZ66",42306.1412327951,42328,37497,50916,55811,40585,49219.1335773049,46416,42279.8052812559,33451,39727.0554944821,54986,48167,38949,59995,51129,142140,48422,47107,93622,45452.5903173379,63211,77850,29717.0869370595,92112,35581,53284,59376
"A1L0T0",28106,73213,26101,34386,73381,56543,46289,76148,56616.0252851209,80460,52911,71720,57549,34184,106350,72107,74512,61591,72862,52679,72780,54164,80177,29418,39277,58148,58539,23050
"A1X283",50556,45071,62364,51931,46628,34271,144890,71508,93935,50639,123790,38914,55515.8980928295,42004,47723,123530,49897,56908,43789,54209.1927075135,49433,79748,43565,39502.8471688924,54799,52197,61318,58828
"A3KMH1",574590,588370,604890,1107900,796730,855560,604748.344124909,471750,587828.181986055,399400,532411.936983694,732780.620972706,1160200,507320,523250,625855.970601343,763910,640490,648750,757760,690980,606700.838975088,743420,428357.314594936,492390,716520,844880,630506.920032989
"A5YKK6",32366,40105,36297,56000,46347,38620,33529,45481,37327,31525,25004,59849,54785,39692,33637,34117,36458,45271,44353,28670,27765,37546,32316,26420.1228520478,41636,46981,82666,40398
"A6NDG6",24724.7514699239,20013,24896,26577,51296,26392,23136.3746002527,31096,32352,33094,21846.4097595508,29100,19199,20710,24627,23254,46839.5646375013,19192,31396,39292,23342,28102.5450822093,15518,19426.4781210997,32945,27531,31894,29668
"A6NHL2",232780,164170,222350,271470,222930,246120,303980,272130,130000,192340,355120,258010,297080,204400,288510,281370,375040,282220,231730,277770,259380,272760,219500,221870,222770,236180,241770,87869
"A6NHR9",9621.3,11298,9069.9,31831.6712620263,29976.7885281924,19023.0366851414,19282.8901973503,7696.6,20418.666328922,17047,10821,28999,11341,14904,19267.3691104258,29236,83019,9927.9,23810,19785,7705.4,19048.4800983614,10115,17319.9801738505,40048,18416,48925,50017
"C4AMC7",26884,25376,17600,17958,27113,22527.0095167174,20126.9001809682,21805,24712,22829,20279,17801,23337,22145.4525149052,19511.6386756145,25872,22771.4757201566,23877,23098,15476,19719.2680626185,22894.6178126208,20507,18387.5149646272,30102,22865,23115,26140
"P62308",239770,196470,232630,303110,240240,261470,216890,260980,100250,189270,186000,266930,313260,245890,239160,246070,383590,252030,257050,245840,251190,226620,202580,144080,167130,242990,354360,72409
"B0I1T2",33763,38935,45678,22670,29930,42535,38874,25529,38312,64231,55045,52954,22439,120490,21639,63906,47156,22160,24405,15612,30513,22389,68873,31190.4454632106,31074,30567,57991,22331
"Q99613",133880,123780,135730,188290,171770,127430,155270,166650,152150,120150,131900,158340,152880,144210,147400,154190,258280,141940,238400,220320,133040,136370,167400,108810,185020,168530,205460,159570
"E9PAV3",243080,304330,414780,459540,464590,313180,394670,425560,392480,329580,317340,394740,375980,320460,410170,448780,493520,297620,524280,542680,433610,342700,387600,320940,546540,400400,388130,290840
"O00115",49757,93148,54204,53827,84776.667091039,46234,57526.4257547335,56266,51288,60629.5556091467,45366,54335,82428.0984098202,78192,72508.6636204425,53374,167380,52786,79842,83008,53368.7087485741,73363,139920,46072.3845782619,95247,75014.6519751177,184540,50171
"O00116",29586,30442,30789,70903,83526,72953,34511,61466,44105,39966,27817,83433,105090,44188,73287,58677,83558,65403,72781,197580,47921,38573,14773,15914,91707,49683,21242,62985
"O00142",103820,71468,118520,35536,134040,129180,100160,49923,118300,87643,88414,78885,87747.1335419429,84113,80756.9164109455,63457,81688.1127392967,95039,73945,117760,56248,151840,75870,68520,81112,77379,61876,86667
"O00148",51183,57690,50981,77360,32632,26269,42444.1829053037,73966,66317,43793,40768,98062,49191,51537,33890,52862.5291570006,177910,65161,43485,47894,48940.3198452462,55755.2573143826,53138.3888157274,32814.341063107,80390.3568936426,54713,125610,87166
"O00151",572810,485590,457750,367650,673530,679100,482500,739590,496020,434520,719020,393470,421020,460940,525710,534360,128920,433930,370190,599610,478690,371460,393110,453640,374800,513850,686110,509990
"O00154",44564,66262,63220,73159,85852,70599,46590,77513,72361,64066,38777,126810,87943,63887,100980,87851,175140,116720,98199,162250,119690,84842,44928,77441,85926,90193,120000,80629
"O00159",409380,392910,355410,269500,285530,312340,264630,205570,460970,525140,357220,166310,185280,309950,327970,233800,103100,382750,180100,97452,410610,394610,224610,519850,224170,288480,164730,327890
"O00160",24229,29648,28740,41407,69029,15337,24779,28559,37493,22076,50085,43557,19253,64158,41574,52257,63253,19198,22800,27280,21102,38181,36516,24556.9798046641,48335,18804,39075,109690
"O00161",70011,57617,74316,82821,79824,91933,83004,64235,78004,56132,70749,70086,88394,109680,97548,89673,91478,103320,85658,71598,91807,74759,72611,58506,71317,55624,56900,103210
"O00170",132450,120440,119650,126440,102430,165170,118600,87790,117186.328431323,128910,86030,87836,106860,163470,119520,117310,125320,205450,148590,166990,113980,120510,93989,80646,92409,102320,120230,106770.965033311
"O00178",21488,29461,29095,24830,24929,19612,13562,20808,22701,30171,24505.1927290625,27359,48074,30217,20615,28267.7384470862,35526,18538,32005,15454,23848.2999980638,27883.2298272575,25665,18677.7021662984,25693.4746322202,21786,25660,27483
"O00182",200430,102630,119710,94813,189690,153290,110290,119960,129770,124640,70363,142510,119940,137170,88088,117600,138491.792400766,81789,125660,60224,126450,80538,127550,122280,117710,146570,118650,135460
"O00186",40707,56670,38973,35927.5068993199,60354,59640,38087.3723312925,44634,30847,56384,33406,35360,49652,53026,41942,31801,42695,60827,35612,55682,38900,30297,58463,30639,49799,37979,52844,41248
"O00203",36650,43772,45007,33915,51499,38189,44282,40205,47073,35827,42816,54542,35032,50314,40074,46336,25291,35806,43874,38069,36683,41966,53643,30117,51252,34339,45637,56149
"O00217",110680,108630,91663,66881,106160,72963,43933,107080,109970,90457,68509,68487,113530,75984,109680,69223,72052,87735,81003,92146,100110,102260,192360,75760,58581,98028,100860,58507
"O00231",209610,201450,199290,286140,239900,191500,234480,275680,240980,168180,206550,271100,247860,240190,248640,232930,302460,226370,273940,379560,240970,208640,217210,171780,343120,247390,272810,235290
"O00232",67507,75647,69398,88931,100320,51898,59979,102570,85392,71239,73150,121920,87947,77960,82567,82877,116850,87816,91265,146310,62603,87501,78687,44616,101220,96869,100350,99639
"O00233",100870,98539,99743,74210,88260,89321,97097,108180,100110,83047,100560,89281,77752,86279,104440,97270,75698,82724,87571,76971,106300,90124,88613,93391,86011,87339,83311,101620
"O00264",291840,404360,311640,300400,290600,210430,269730,180240,283310,264080,242940,311250,432430,237170,243890,271690,402540,272300,227920,172650,259780,297270,260360,268460,279180,196840,281720,209020
"O00267",65325,113370,82039,218300,186490,84416,65710,102320,150780,115250,90301.0156470337,290710,131420,81715,59101,87608,549280,158990,194830,72548,59291,82009,117070,73574.9278330799,150170,177670,399650,245910
"O00273",95995,73219,67653,66476,41473,82368,64166,154450,50595,66740,52325,63645,90703,75102,69871,73210,113060,104250,105990,25947,75959,89192,62963,43838,19507,77128,99228,49452
"O00299",575110,716080,782150,950400,926340,789800,631790,994950,651900,664480,692830,854580,884340,1026800,676060,761910,938740,901350,937210,1127500,551410,558650,882810,591630,983900,1211500,1359100,1054400
"O00303",181110,166440,212880,252610,226970,139920,185500,225710,230230,160800,188710,268270,218520,192790,188080,192090,351260,177940,319000,297410,162870,173570,215780,140060,233690,242190,314070,193250
"O00330",21595.6726080692,13831,19265,17989,21907,39363,23958,22614,29137.370747945,22210.9569516386,10825,14629,28537.2756459186,31249.5651171228,19413,23578.5996829089,19126,23578.4494451256,26292,17216,22347.2479078523,19026.7650607073,67071,15437,20996.4040262834,9664,17026,28588.5602046689
"O00391",51002,64058,35172,30060,85494,18592,57810,46232,47869,52822,116790,85697,149560,114090,73366,76951,123630,52860,176260,356760,60915,47645,85198,41630,22906,69097,19917,10911
"O00408",472870,332762.319977333,363280,238950,115360,303350,527210,323986.23042032,366718.02396269,311907.846638001,402748.747876728,311640,279270,351950,276610,428940,393130,304478.949300168,307570,418740,301207.242993562,367640,331924.528352043,329383.119021002,341120,349420,308604.06808009,235990
"O00410",64168,71258,75625,185660,93272,79971,86651,97264,85320,75300,73510,125850,138280,100510,86337,87837,181100,98295,113620,84729,84938,79878,73926,58386,181030,91096,212190,159360
"O00422",32108.3189755619,36929,21282,37866,34897,21559,33053.4414914553,34945,29694,29531.7683057741,30169,33956,44147,31861,29025.919790349,32483.4355433435,44504,35474,27863,28871.8463274383,15693,31557,33818.7627719657,19370.6275305683,27155.9503819228,25391,32977,28106
"O00423",117350,94396,60976,30093,18721,115710,40807,33803,125750,80857,47733,9137.6,35465.9832717112,26679,49446,56058,43587.9270328655,50781,25037,38340.876316532,73268,65668,28875,100570,20161,36218,8020.6,50289
"O00425",21638,56826.2801736818,34814,31555,77688.9141969445,25919,50099.735634356,247910,40729,46765.3714410754,41917.7197457036,41196,125200,58824.6357698152,60020.1336951128,45125,84709,56496,86515,54801,29392,39418,77449.5405172516,42026.1041059224,182750,87457,33858,81588
"O00429",48993,53996,47120,48779,59306,58398,53430,63691,58921,55077,52064,74004,69741,51821,60555,49292,78392,58185,73964,46043,57881,64346,62665,45520,64557,60809,58097,65654
"O00442",34419,40061.670687365,37898,36639,38217,34544.7498747168,24648,51020,42639,32769,28015,53420,29255,43940,44584,39088,70383,50783,47874,41664,35735,33234,58019,27564,37267,59552,59310,47192
"O00461",75253,29251,41128,35402,53762,63530,63854,112710,47781,36635,39648,65320,75099,40136,62399,59783,54901,83434,50718,113530,87863,69323,59038,35545,45650,21948,45637,53869
"O00468",163740,134070,71265,52757,28357,55875,64092,66574,88995,89389,72486,118280,93721,70133,32101,34096,106420,147200,56534,131250,31107,204350,37416,70619,61705,127050,84260,79782
"O00469",905594.50132071,492890,1053374.86098123,512880,224960,808633.232894346,1164500,355320,1993500,684472.472619102,504800,2574800,912270,1715300,689771.076126255,898200,1095100,203910,430170,845760,637257.419893137,583580,695513.197677156,741164.197937468,559880,459220,739940,692930
"O00483",192870,132970,230530,112290,183140,249323.076970584,182490,203260,188460,173364.08028608,160960,179510,169910,204936.283367165,240360,138330,88945,130490,280460,181548.322964807,273120,169802.739951698,481350,183350,154530,175490,115440,160790
"O00487",108500,93921,112320,139630,143050,87867,114470,144800,117350,106330,109160,151300,145540,116950,133980,120670,174420,121590,133890,218650,119500,124170,115250,80393,180340,121510,142350,139280
"O00505",83639,115170,75807,108340,94324,101870,94379,92489,87692,95328,78027,136880,155900,79572,91174,100790,87857,113380,97631,80425,103570,88710,95552,78289,111480,108000,178110,112880
"O00515",56608,56081,30545,34531,46045,55161,42850.8991263256,64471,27576,24328,11769,28014,129330,138720,79021,26761,66767,92517,60814,129050,40711,23194,77487,19797,31213,111040,90614,16986
"O00534",96297,63887,64110,31157,85192,65707,81576,54089,58501,71847,68171,16654,82177,100510,83512,104170,46763.970015227,54940,48007,49707.7825851659,75406,68746,71740,34414,51899,62729,20308,48015
"O00541",17279,12112,22206,41218,33824,14605,27571.1468018667,59653,14938,14209,9303.8,46477,51058,15657,27441,26855,60399,31060,38752,43762,23847,25753,20884,18171.8135064478,32862,28958,47914,37078
"O00560",117710,79394,106080,102520,496800,159480,114180,80740,151870,114770,122140,68055,436350,81945,102170,136380,129780,98576,174190,116250,124982.044612376,143954.218074477,77056,102085.134027614,187580,102540,77388,174670
"O00567",179540,150410,171950,201500,250220,376400,195660,253350,195250,214930,166770,276340,257750,208390,197300,221040,386180,190630,223700,146160,168420,183200,197110,123720,219440,188770,295380,260990
"O00571",273070,222080,253420,411240,326270,193050,295430,322050,290960,242570,256130,380130,330280,230690,303750,351730,353470,275380,325570,341720,307110,269470,275240,230550,425200,316410,273560,296860
"O00584",39498,41646,47560,19472,74714,62038.3335945301,50859,17786,37505,90196,23663,55515,171190,52586,33555,62348,29479,34652,63778,33047,38813,30113,62091,88017,71593,49403.8603603685,26201,57561.3886385482
"O00743",24470,32606,24144,41767,29683,31171,31140,25813,30910.5254812635,35771,22350,39538,29761,35752,28609,26392,46614,47941,44715,35836,45841,19890,36098,22626,22104,29960,48380,33932.6382088307
"O00754",92072,40058,52447,54536,86414,52658,74539,62232,97067,51525,58233,65106,51073,92556,70993,84305,82333,56452,52133,67018,54210,64630,62564,33363,76627,70900,82919,98066
"O00764",147790,207680,146380,144080,142690,196260,186720,160850,164890,159760,153050,237610,178240,234310,206850,179760,299180,257560,251550,193860,132150,174870,199650,113780,140470,197990,488320,207300
"O14498",52455.1040723273,36926,55243,15948,63655.5405057215,83381.4493217103,83060,27410,63090,26622,21856,176720,219580,84513,55531.5451036324,43257,133863.016293879,89963,71528,80641.5186506277,15150,69250,77353.987531417,40310.9775838651,54346,23143,49007,38748
"O14558",3254300,1027700,2420400,1361700,545750,1384500,1578500,973600,886290,1985700,2141100,159280,289050,1237000,2774900,1629900,318998.637517818,682200,879580,64874,4085500,2228300,1368800,3236300,212290,707210,226070,812960
"O14579",64996,80289,69924,86757,106970,54147,84322,103800,66096,64199,87700,118430,79244,101180,103870,96549,104530,98438,129760,134940,72854,67295,110480,42659,83939,69703,109090,99026
"O14602",79821,90442,157060,138500,150060,108110,111850,173640,132649.196991644,126850,98971,201360,211050,148110,161940,130640,139360,80457,125310,133410,112280,142160,88796,85878.7796308198,119550,87440,111750,126990
